------------------------------------------------------------------
CRN              Course        Current            Max           Number on           Fill
                              Enrollment       Enrollment       Wait-list          Rate %
00469        CIS 002.-62Z         37               40               0               92.5
00471        CIS 003.-02Z         37               40               0               92.5
20371        CIS 003.-62Z         35               40               1               90.0
02638        CIS 003.-74Z         33               40               3               90.0
26036        CIS 004.-03Z         33               40               0               82.5
22333        CIS 004.-62Z         34               40               4               95.0
26498        CIS 005.-61Z         23               40               0               57.5
27728        CIS 006.-62Z         27               40               1               70.0
21790        CIS 014A-62Z         31               40               0               77.5
02639        CIS 018A-01Y         46               40               1              117.5
00479        CIS 018A-12Z         27               25               1              112.0
21713        CIS 022A-02D         45               40               0              112.5
21714        CIS 022A-02Y         48               40               1              122.5
21716        CIS 022A-05Z         41               40               1              105.0
27781        CIS 022A-06Z         19               18               4              127.8
22569        CIS 022A-08Y         45               40               1              115.0
21717        CIS 022A-11Y         38               40               0               95.0
22584        CIS 022A-50Z         39               40               5              110.0
21718        CIS 022A-54Y         60               40               1              152.5
22329        CIS 022A-57Z         45               40               1              115.0
23868        CIS 022A-62Z         49               40               1              125.0
22006        CIS 022A-6GZ         19               22               0               86.4
21720        CIS 022B-02Z         30               40               1               77.5
22325        CIS 022B-03Z         48               40               1              122.5
22583        CIS 022B-04Y         38               40               3              102.5
21719        CIS 022B-04Z         52               40               0              130.0
26233        CIS 022B-63Z         42               40               0              105.0
27965        CIS 022B-73Z         29               40               0               72.5
22327        CIS 022C-01Y         40               40               2              105.0
26034        CIS 022C-03Z         63               40               3              165.0
26232        CIS 022C-09Y         24               40               0               60.0
23078        CIS 022C-10Y         19               40               0               47.5
22320        CIS 022C-50Z         61               40               4              162.5
22855        CIS 022C-62Z         34               40               1               87.5
23076        CIS 028.-11Y         29               40               0               72.5
22958        CIS 029.-11Z         18               40               0               45.0
00484        CIS 035A-01Z         38               40               0               95.0
00485        CIS 035A-11Y         37               40               3              100.0
23382        CIS 035A-62Z         41               40               2              107.5
00487        CIS 035B-11Y         18               40               0               45.0
23412        CIS 036A-01Y         52               40               2              135.0
22957        CIS 036B-01Y         15               40               0               37.5
25935        CIS 040.-01Z         26               26               0              100.0
26032        CIS 040.-03Z         20               20               3              115.0
24578        CIS 040.-10Y         41               40               3              110.0
26785        CIS 040.-1GZ         14               14               0              100.0
26035        CIS 040.-62Z         27               20               4              155.0
27462        CIS 040.-63Z         45               40               9              135.0
23384        CIS 041A-01Z         39               40               0               97.5
24090        CIS 041A-02Y         31               40               0               77.5
26033        CIS 041A-62Z         52               40               2              135.0
25218        CIS 041B-01Z         29               40               0               72.5
27305        CIS 044A-62Z         37               40               0               92.5
27312        CIS 046.-62Z         40               40               1              102.5
25934        CIS 064B-02Z         47               40               2              122.5
22859        CIS 064C-02Z         29               40               0               72.5
25933        CIS 064G-62Z         30               40               0               75.0
27779        CIS 069A-01Z         17               20               0               85.0
27777        CIS 069D-01Z         17               20               0               85.0
25295        CIS 079.-62Z         27               40               0               67.5
00494        CIS 089A-62Z         40               40               1              102.5
26016        CIS 089C-62Z         44               40               1              112.5
27654        CIS 095A-15Y         14               20               0               70.0
27655        CIS 095A-15Z         15               20               0               75.0
27656        CIS 095B-15Y         15               20               1               80.0
27657        CIS 095B-15Z         12               20               0               60.0
21723        CIS 098.-62Z         19               20               0               95.0
23077        CIS 099.-62Z         23               25               1               96.0
24252        CIS 102.-62Z         41               40               1              105.0
21722        CIS 108.-62Z         38               30               2              133.3
02644        CIS 21JA-01Z         42               40               0              105.0
23989        CIS 21JA-12Y         47               40               1              120.0
22853        CIS 21JA-62Z         44               40               2              115.0
26235        CIS 21JA-63Z         44               40               2              115.0
27228        CIS 308.-62Z         13               10               0              130.0
27235        CIS 318A-04Z          9               15               0               60.0
26555        CIS 340.-05Z         17               20               3              100.0
27782        CIS 340.-62Z         14               20               2               80.0
27780        CIS 369A-01Z          9               20               0               45.0
27778        CIS 369D-01Z         15               20               0               75.0
27233        CIS 398.-62Z         14               20               1               75.0
27234        CIS 399.-99Z         13               15               1               93.3
