CRN              Course               Fill Rate %
00469        CIS 002.-62Z                92.5
00471        CIS 003.-02Z                92.5
20371        CIS 003.-62Z                90.0
02638        CIS 003.-74Z                90.0
26036        CIS 004.-03Z                82.5
22333        CIS 004.-62Z                95.0
26498        CIS 005.-61Z                57.5
27728        CIS 006.-62Z                70.0
21790        CIS 014A-62Z                77.5
02639        CIS 018A-01Y               117.5
00479        CIS 018A-12Z               112.0
21713        CIS 022A-02D               112.5
21714        CIS 022A-02Y               122.5
21716        CIS 022A-05Z               105.0
27781        CIS 022A-06Z               127.8
22569        CIS 022A-08Y               115.0
21717        CIS 022A-11Y                95.0
22584        CIS 022A-50Z               110.0
21718        CIS 022A-54Y               152.5
22329        CIS 022A-57Z               115.0
23868        CIS 022A-62Z               125.0
22006        CIS 022A-6GZ                86.4
21720        CIS 022B-02Z                77.5
22325        CIS 022B-03Z               122.5
22583        CIS 022B-04Y               102.5
21719        CIS 022B-04Z               130.0
26233        CIS 022B-63Z               105.0
27965        CIS 022B-73Z                72.5
22327        CIS 022C-01Y               105.0
26034        CIS 022C-03Z               165.0
26232        CIS 022C-09Y                60.0
23078        CIS 022C-10Y                47.5
22320        CIS 022C-50Z               162.5
22855        CIS 022C-62Z                87.5
23076        CIS 028.-11Y                72.5
22958        CIS 029.-11Z                45.0
00484        CIS 035A-01Z                95.0
00485        CIS 035A-11Y               100.0
23382        CIS 035A-62Z               107.5
00487        CIS 035B-11Y                45.0
23412        CIS 036A-01Y               135.0
22957        CIS 036B-01Y                37.5
25935        CIS 040.-01Z               100.0
26032        CIS 040.-03Z               115.0
24578        CIS 040.-10Y               110.0
26785        CIS 040.-1GZ               100.0
26035        CIS 040.-62Z               155.0
27462        CIS 040.-63Z               135.0
23384        CIS 041A-01Z                97.5
24090        CIS 041A-02Y                77.5
26033        CIS 041A-62Z               135.0
25218        CIS 041B-01Z                72.5
27305        CIS 044A-62Z                92.5
27312        CIS 046.-62Z               102.5
25934        CIS 064B-02Z               122.5
22859        CIS 064C-02Z                72.5
25933        CIS 064G-62Z                75.0
27779        CIS 069A-01Z                85.0
27777        CIS 069D-01Z                85.0
25295        CIS 079.-62Z                67.5
00494        CIS 089A-62Z               102.5
26016        CIS 089C-62Z               112.5
27654        CIS 095A-15Y                70.0
27655        CIS 095A-15Z                75.0
27656        CIS 095B-15Y                80.0
27657        CIS 095B-15Z                60.0
21723        CIS 098.-62Z                95.0
23077        CIS 099.-62Z                96.0
24252        CIS 102.-62Z               105.0
21722        CIS 108.-62Z               133.3
02644        CIS 21JA-01Z               105.0
23989        CIS 21JA-12Y               120.0
22853        CIS 21JA-62Z               115.0
26235        CIS 21JA-63Z               115.0
27228        CIS 308.-62Z               130.0
27235        CIS 318A-04Z                60.0
26555        CIS 340.-05Z               100.0
27782        CIS 340.-62Z                80.0
27780        CIS 369A-01Z                45.0
27778        CIS 369D-01Z                75.0
27233        CIS 398.-62Z                75.0
27234        CIS 399.-99Z                93.3
